Splitter,"{'Time': '1', 'Electronic circuit': '5', 'Iron plate': '5', 'Transport belt': '4'}",{'Splitter': '1 '},"{'Required technologies': ['Logistics (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Fast splitter'], 'Prototype type': 'splitter', 'Health': '170', 'Belt speed': '15 Items/s', 'Dimensions': '1×2', 'Stack size': '50', 'Internal name': 'splitter', 'Mining time': '0.1', 'Map color': ['background-color:#f8d000'], 'Resistances': 'Fire: 0/60%'}"
Fast splitter,"{'Time': '2', 'Electronic circuit': '10', 'Iron gear wheel': '10', 'Splitter': '1'}",{'Fast splitter': '1 '},"{'Required technologies': ['Logistics 2 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Express splitter'], 'Prototype type': 'splitter', 'Health': '180', 'Belt speed': '30 Items/s', 'Dimensions': '1×2', 'Stack size': '50', 'Internal name': 'fast-splitter', 'Mining time': '0.1', 'Map color': ['background-color:#f8d000'], 'Resistances': 'Fire: 0/60%'}"
Express splitter,"{'Time': '2', 'Iron gear wheel': '10', 'Advanced circuit': '10', 'Lubricant': '80', 'Fast splitter': '1'}",{'Express splitter': '1 '},"{'Prototype type': 'splitter', 'Health': '190', 'Belt speed': '45 Items/s', 'Resistances': 'Fire: 0/60%', 'Produced by': ['Assembling machine 2', 'Assembling machine 3'], 'Stack size': '50', 'Required technologies': ['Logistics 3 (research)'], 'Internal name': 'express-splitter', 'Mining time': '0.1', 'Map color': ['background-color:#f8d000'], 'Dimensions': '1×2'}"
Burner inserter,"{'Time': '0.5', 'Iron plate': '1', 'Iron gear wheel': '1'}",{'Burner inserter': '1 '},"{'Energy consumption': '94 kW (burner)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': 'None required', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Prototype type': 'inserter', 'Health': '100', 'Internal name': 'burner-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Valid fuel': ['Wood', 'Coal', 'Solid fuel', 'Rocket fuel', 'Nuclear fuel']}"
Inserter,"{'Time': '0.5', 'Electronic circuit': '1', 'Iron gear wheel': '1', 'Iron plate': '1'}",{'Inserter': '1 '},"{'Energy consumption': '13 kW (electric)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': 'None required', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Fast inserter', 'Logistic science pack', 'Long handed inserter'], 'Prototype type': 'inserter', 'Health': '150', 'Internal name': 'inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '400 W (electric)'}"
Long handed inserter,"{'Time': '0.5', 'Inserter': '1', 'Iron gear wheel': '1', 'Iron plate': '1'}",{'Long handed inserter': '1 '},"{'Energy consumption': '18 kW (electric)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': ['Automation (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Prototype type': 'inserter', 'Health': '160', 'Internal name': 'long-handed-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '400 W (electric)'}"
Fast inserter,"{'Time': '0.5', 'Electronic circuit': '2', 'Iron plate': '2', 'Inserter': '1'}",{'Fast inserter': '1 '},"{'Energy consumption': '46 kW (electric)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': ['Fast inserter (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Filter inserter', 'Stack inserter'], 'Prototype type': 'inserter', 'Health': '150', 'Internal name': 'fast-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '500 W (electric)'}"
Filter inserter,"{'Time': '0.5', 'Electronic circuit': '4', 'Fast inserter': '1'}",{'Filter inserter': '1 '},"{'Energy consumption': '52 kW (electric)', 'Required technologies': ['Fast inserter (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Prototype type': 'inserter', 'Health': '150', 'Internal name': 'filter-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '500 W (electric)'}"
Stack inserter,"{'Time': '0.5', 'Iron gear wheel': '15', 'Electronic circuit': '15', 'Advanced circuit': '1', 'Fast inserter': '1'}",{'Stack inserter': '1 '},"{'Energy consumption': '132 kW (electric)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': ['Stack inserter (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Stack filter inserter'], 'Prototype type': 'inserter', 'Health': '160', 'Internal name': 'stack-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '1 kW (electric)'}"
Stack filter inserter,"{'Time': '0.5', 'Stack inserter': '1', 'Electronic circuit': '5'}",{'Stack filter inserter': '1 '},"{'Energy consumption': '132 kW (electric)', 'Boosting technologies': ['Inserter capacity bonus (research)'], 'Required technologies': ['Stack inserter (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Prototype type': 'inserter', 'Health': '160', 'Internal name': 'stack-filter-inserter', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%', 'Drain': '1 kW (electric)'}"
Small electric pole,"{'Time': '0.5', 'Wood': '1', 'Copper cable': '2'}",{'Small electric pole': '2'},"{'Wire reach': '7.5 tiles', 'Prototype type': 'electric-pole', 'Health': '100', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Internal name': 'small-electric-pole', 'Supply area': '5×5 tiles', 'Stack size': '50', 'Required technologies': 'None required', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
Medium electric pole,"{'Time': '0.5', 'Steel plate': '2', 'Copper plate': '2', 'Iron stick': '4'}",{'Medium electric pole': '1 '},"{'Supply area': '7×7 tiles', 'Required technologies': ['Electric energy distribution 1 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Wire reach': '9 tiles', 'Prototype type': 'electric-pole', 'Health': '100', 'Internal name': 'medium-electric-pole', 'Dimensions': '1×1', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/100%'}"
Big electric pole,"{'Time': '0.5', 'Steel plate': '5', 'Copper plate': '5', 'Iron stick': '8'}",{'Big electric pole': '1 '},"{'Supply area': '4×4 tiles', 'Required technologies': ['Electric energy distribution 1 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Wire reach': '30 tiles', 'Prototype type': 'electric-pole', 'Health': '150', 'Internal name': 'big-electric-pole', 'Dimensions': '2×2', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/100%'}"
Substation,"{'Time': '0.5', 'Advanced circuit': '5', 'Copper plate': '5', 'Steel plate': '10'}",{'Substation': '1 '},"{'Supply area': '18×18 tiles', 'Required technologies': ['Electric energy distribution 2 (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Wire reach': '18 tiles', 'Prototype type': 'electric-pole', 'Health': '200', 'Internal name': 'substation', 'Dimensions': '2×2', 'Stack size': '50', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%'}"
Pipe,"{'Time': '0.5', 'Iron plate': '1'}",{'Pipe': '1 '},"{'Required technologies': 'None required', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Artillery wagon', 'Boiler', 'Chemical plant', 'Engine unit', 'Flamethrower turret', 'Fluid wagon', 'Heat exchanger', 'Offshore pump', 'Oil refinery', 'Pipe to ground', 'Pump', 'Pumpjack', 'Rocket silo', 'Steam engine', 'Steam turbine'], 'Prototype type': 'pipe', 'Health': '100', 'Storage size': '100', 'Resistances': 'Fire: 0/80%, Impact: 0/30%', 'Stack size': '100', 'Internal name': 'pipe', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
Pipe to ground,"{'Time': '0.5', 'Iron plate': '5', 'Pipe': '10'}",{'Pipe to ground': '2'},"{'Prototype type': 'pipe-to-ground', 'Health': '150', 'Internal name': 'pipe-to-ground', 'Resistances': 'Fire: 0/80%, Impact: 0/40%', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': 'None required', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
Pump,"{'Time': '2', 'Steel plate': '1', 'Pipe': '1', 'Engine unit': '1'}",{'Pump': '1 '},"{'Energy consumption': '30 kW (electric)', 'Required technologies': ['Fluid handling (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Prototype type': 'pump', 'Health': '180', 'Storage size': '200', 'Resistances': 'Fire: 0/80%, Impact: 0/30%', 'Stack size': '50', 'Internal name': 'pump', 'Mining time': '0.2', 'Map color': ['background-color:#006090'], 'Dimensions': '1×2'}"
Rail,"{'Stone': '1', 'Time': '0.5', 'Steel plate': '1', 'Iron stick': '1'}",{'Rail': '2'},"{'Prototype type': 'rail-planner', 'Health': '100', 'Internal name': 'rail', 'Stack size': '100', 'Required technologies': ['Railway (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Consumed by': ['Production science pack']}"
Train stop,"{'Time': '0.5', 'Electronic circuit': '5', 'Iron plate': '6', 'Steel plate': '3', 'Iron stick': '6'}",{'Train stop': '1 '},"{'Map icon': '/File:Train_stop_map_icon.png', 'Health': '250', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Internal name': 'train-stop', 'Prototype type': 'train-stop', 'Stack size': '10', 'Mining time': '0.2', 'Required technologies': ['Automated rail transportation (research)'], 'Dimensions': '2×2'}"
Rail signal,"{'Time': '0.5', 'Electronic circuit': '1', 'Iron plate': '5'}",{'Rail signal': '1 '},"{'Prototype type': 'rail-signal', 'Health': '100', 'Internal name': 'rail-signal', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Rail signals (research)'], 'Mining time': '0.1', 'Map color': ['background-color:#006090']}"
Rail chain signal,"{'Time': '0.5', 'Electronic circuit': '1', 'Iron plate': '5'}",{'Rail chain signal': '1 '},"{'Prototype type': 'rail-chain-signal', 'Health': '100', 'Internal name': 'rail-chain-signal', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Rail signals (research)'], 'Mining time': '0.1', 'Map color': ['background-color:#006090']}"
Locomotive,"{'Time': '4', 'Electronic circuit': '10', 'Steel plate': '30', 'Engine unit': '20'}",{'Locomotive': '1 '},"{'Energy consumption': '600 kW (burner)', 'Prototype type': 'locomotive', 'Required technologies': ['Railway (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Weight': '2000', 'Map icon': '/File:Locomotive_map_icon.png', 'Health': '1000', 'Storage size': '3 (fuel only)', 'Resistances': 'Acid: 3/20%, Explosion: 15/30%, Fire: 15/50%, Impact: 50/60%, Physical: 15/30%', 'Stack size': '5', 'Internal name': 'locomotive', 'Mining time': '0.5', 'Dimensions': '2×6', 'Valid fuel': ['Wood', 'Coal', 'Solid fuel', 'Rocket fuel', 'Nuclear fuel']}"
Cargo wagon,"{'Time': '1', 'Iron plate': '20', 'Iron gear wheel': '10', 'Steel plate': '20'}",{'Cargo wagon': '1 '},"{'Prototype type': 'cargo-wagon', 'Required technologies': ['Railway (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Weight': '1000', 'Map icon': '/File:Cargo_wagon_map_icon.png', 'Health': '600', 'Storage size': '40', 'Resistances': 'Acid: 3/20%, Explosion: 15/30%, Fire: 15/50%, Impact: 50/60%, Physical: 15/30%', 'Stack size': '5', 'Internal name': 'cargo-wagon', 'Mining time': '0.5', 'Dimensions': '2×6'}"
Fluid wagon,"{'Time': '1.5', 'Iron gear wheel': '10', 'Pipe': '8', 'Storage tank': '1', 'Steel plate': '16'}",{'Fluid wagon': '1 '},"{'Prototype type': 'fluid-wagon', 'Required technologies': ['Fluid wagon (research)'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Weight': '1000', 'Map icon': '/File:Fluid_wagon_map_icon.png', 'Health': '600', 'Storage size': '25000', 'Resistances': 'Acid: 3/20%, Explosion: 15/30%, Fire: 15/50%, Impact: 50/60%, Physical: 15/30%', 'Stack size': '5', 'Internal name': 'fluid-wagon', 'Mining time': '0.5', 'Dimensions': '2×6'}"
Artillery wagon,"{'Steel plate': '40', 'Advanced circuit': '20', 'Engine unit': '64', 'Time': '4', 'Iron gear wheel': '10', 'Pipe': '16'}",{'Artillery wagon': '1 '},"{'Boosting technologies': ['Artillery shell range (research)', 'Artillery shell shooting speed (research)'], 'Prototype type': 'artillery-wagon', 'Required technologies': ['Artillery (research)'], 'Range': 'Minimum: 32, Automatic: 224, Manual: 560', 'Ammunition': ['Artillery shell'], 'Weight': '4000', 'Map icon': '/File:Artillery_wagon_map_icon.png', 'Health': '600', 'Internal name': 'artillery-wagon', 'Resistances': 'Acid: 3/20%, Explosion: 15/30%, Fire: 15/50%, Impact: 50/50%, Physical: 15/30%', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '5', 'Mining time': '0.5', 'Shooting speed': '0.3/s', 'Dimensions': '2×6'}"
Car,"{'Time': '2', 'Iron plate': '20', 'Steel plate': '5', 'Engine unit': '8'}",{'Car': '1 '},"{'Energy consumption': '150 kW (burner)', 'Prototype type': 'car', 'Required technologies': ['Automobilism (research)'], 'Range': '20', 'Ammunition': ['Firearm magazine', 'Piercing rounds magazine', 'Uranium rounds magazine'], 'Weight': '700', 'Map icon': '/File:Car_map_icon.png', 'Health': '450', 'Storage size': '80', 'Valid fuel': ['Wood', 'Coal', 'Solid fuel', 'Rocket fuel', 'Nuclear fuel'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '1', 'Internal name': 'car', 'Mining time': '0.4', 'Shooting speed': '15/s', 'Resistances': 'Acid: 0/20%, Fire: 0/50%, Impact: 50/30%'}"
Tank,"{'Time': '5', 'Iron gear wheel': '15', 'Advanced circuit': '10', 'Steel plate': '50', 'Engine unit': '32'}",{'Tank': '1 '},"{'Energy consumption': '600 kW (burner)', 'Prototype type': 'car', 'Required technologies': ['Tanks (research)'], 'Range': 'Tank cannon: 25, Vehicle machine gun: 20, Vehicle flamethrower: 9', 'Ammunition': ['Explosive cannon shell', 'Cannon shell', 'Uranium cannon shell', 'Explosive uranium cannon shell', 'Firearm magazine', 'Piercing rounds magazine', 'Uranium rounds magazine', 'Flamethrower ammo'], 'Weight': '20000', 'Map icon': '/File:Car_map_icon.png', 'Health': '2000', 'Internal name': 'tank', 'Valid fuel': ['Wood', 'Coal', 'Solid fuel', 'Rocket fuel', 'Nuclear fuel'], 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '1', 'Mining time': '0.5', 'Shooting speed': 'Tank cannon: 0.67/s, Vehicle machine gun: 15/s, Vehicle flamethrower: 67.5/s', 'Resistances': 'Acid: 0/50%, Explosion: 15/70%, Fire: 15/60%, Impact: 50/80%, Physical: 15/60%'}"
Logistic robot,"{'Time': '0.5', 'Advanced circuit': '2', 'Flying robot frame': '1'}",{'Logistic robot': '1 '},"{'Prototype type': 'logistic-robot', 'Health': '100', 'Energy consumption': '5 kJ/m', 'Internal name': 'logistic-robot', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Mining time': '0.1', 'Required technologies': ['Logistic robotics (research)'], 'Resistances': 'Fire: 0/85%', 'Drain': '3 kW'}"
Construction robot,"{'Time': '0.5', 'Electronic circuit': '2', 'Flying robot frame': '1'}",{'Construction robot': '1 '},"{'Prototype type': 'construction-robot', 'Health': '100', 'Energy consumption': '5 kJ/m', 'Internal name': 'construction-robot', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Mining time': '0.1', 'Required technologies': ['Construction robotics (research)'], 'Resistances': 'Fire: 0/85%', 'Drain': '3 kW'}"
Active provider chest,"{'Time': '0.5', 'Electronic circuit': '3', 'Advanced circuit': '1', 'Steel chest': '1'}",{'Active provider chest': '1 '},"{'Prototype type': 'logistic-container', 'Health': '350', 'Storage size': '48', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Logistic system (research)'], 'Internal name': 'logistic-chest-active-provider', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%, Impact: 0/60%'}"
Passive provider chest,"{'Time': '0.5', 'Electronic circuit': '3', 'Advanced circuit': '1', 'Steel chest': '1'}",{'Passive provider chest': '1 '},"{'Prototype type': 'logistic-container', 'Health': '350', 'Storage size': '48', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Construction robotics (research)', 'Logistic robotics (research)'], 'Internal name': 'logistic-chest-passive-provider', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%, Impact: 0/60%'}"
Storage chest,"{'Time': '0.5', 'Electronic circuit': '3', 'Advanced circuit': '1', 'Steel chest': '1'}",{'Storage chest': '1 '},"{'Prototype type': 'logistic-container', 'Health': '350', 'Storage size': '48', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Construction robotics (research)', 'Logistic robotics (research)'], 'Internal name': 'logistic-chest-storage', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%, Impact: 0/60%'}"
Buffer chest,"{'Time': '0.5', 'Electronic circuit': '3', 'Advanced circuit': '1', 'Steel chest': '1'}",{'Buffer chest': '1 '},"{'Prototype type': 'logistic-container', 'Health': '350', 'Storage size': '48', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Logistic system (research)'], 'Internal name': 'logistic-chest-buffer', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%, Impact: 0/60%'}"
Requester chest,"{'Time': '0.5', 'Electronic circuit': '3', 'Advanced circuit': '1', 'Steel chest': '1'}",{'Requester chest': '1 '},"{'Prototype type': 'logistic-container', 'Health': '350', 'Storage size': '48', 'Dimensions': '1×1', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Logistic system (research)'], 'Internal name': 'logistic-chest-requester', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/90%, Impact: 0/60%'}"
Roboport,"{'Time': '5', 'Iron gear wheel': '45', 'Advanced circuit': '45', 'Steel plate': '45'}",{'Roboport': '1 '},"{'Robot recharge rate': '4×1.0 MW (electric)', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Supply area': '50×50 tiles', 'Required technologies': ['Construction robotics (research)', 'Logistic robotics (research)'], 'Internal buffer recharge rate': '5.0 MW (electric)', 'Construction area': '110×110 tiles', 'Prototype type': 'roboport', 'Health': '500', 'Internal name': 'roboport', 'Dimensions': '4×4', 'Energy capacity': '100 MJ', 'Stack size': '10', 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Resistances': 'Fire: 0/60%, Impact: 0/30%', 'Drain': '50 kW (electric)'}"
Lamp,"{'Time': '0.5', 'Electronic circuit': '1', 'Iron plate': '1', 'Copper cable': '3'}",{'Lamp': '1 '},"{'Prototype type': 'lamp', 'Health': '100', 'Energy consumption': '5.0 kW (electric)', 'Internal name': 'small-lamp', 'Produced by': ['Assembling machine 1', 'Assembling machine 2', 'Assembling machine 3', 'Crafting#Manual crafting'], 'Stack size': '50', 'Required technologies': ['Optics (research)'], 'Mining time': '0.1', 'Map color': ['background-color:#006090'], 'Dimensions': '1×1'}"
